lang_key,translation_key,translation_text,verified,translated
en,LEDGER_ACCOUNT,Ledger Account,FALSE,FALSE
en,LINKED_TO_USER,Linked To User,FALSE,FALSE
en,LOT/SERIAL_NUMBER,Lot/Serial Number,FALSE,FALSE
en,LOT_TYPE,Lot Type,FALSE,FALSE
en,MAINTENANCE_INFORMATION,Maintenance Information,FALSE,FALSE
en,MAINTENANCE_SCHEDULE,Maintenance Schedule,FALSE,FALSE
en,MEASURMENT_SITE,Measurment Site,FALSE,FALSE
en,MEDICAL_INTERVENTIONS_PERFORMED,Medical Interventions Performed,FALSE,FALSE
en,MEDICAL_LICENSE_INFORMATION,Medical License Information,FALSE,FALSE
en,MEDICATION,Medication,FALSE,FALSE
en,MOTOR_RESPONSE,Motor Response,FALSE,FALSE
en,NEW_ADMISSIONS,New Admissions,FALSE,FALSE
en,NEW_POSITION,New Position,FALSE,FALSE
en,NEXT_DOSE,Next Dose,FALSE,FALSE
en,NEXT_DOSE_DUE_DATE,Next Dose Due Date,FALSE,FALSE
en,NEXT_OF_KIN,Next Of Kin,FALSE,FALSE
en,OBJECT_NAME,Object Name,FALSE,FALSE
en,OPERATION,Operation,FALSE,FALSE
en,ORDERED_BY_/_AT,Ordered By / At,FALSE,FALSE
en,ORDER_DATE&TIME,Order Date&Time,FALSE,FALSE
en,ORDER_NAME,Order Name,FALSE,FALSE
en,ORDER_NOTES,Order Notes,FALSE,FALSE
en,ORDER_STATUS,Order Status,FALSE,FALSE
en,ORGANIZATION_ADDRESS,Organization Address,FALSE,FALSE
en,ORGANIZATION_CONTACT_NAME,Organization Contact Name,FALSE,FALSE
en,ORGANIZATION_DEFINITION,Organization Definition,FALSE,FALSE
en,ORGANIZATION_DESCRIPTION,Organization Description,FALSE,FALSE
en,ORGANIZATION_NAME,Organization Name,FALSE,FALSE
en,OUTCOME,Outcome,FALSE,FALSE
en,OVERVIEW,Overview,FALSE,FALSE
en,PAIN,Pain,FALSE,FALSE
en,PARALLEL_CAPACITY_VALUE,Parallel Capacity Value,FALSE,FALSE
en,PASSWORD_ERROR_RETIRES,Password Error Retires,FALSE,FALSE
en,PASSWORD_ERROR_RETRIES,Password Error Retries,FALSE,FALSE
en,PASSWORD_EXPIRES,Password Expires,FALSE,FALSE
en,PASSWORD_EXPIRES_AFTER,Password Expires After,FALSE,FALSE
en,PASSWORD_EXPIRES_AFTER_DAYS,Password Expires After Days,FALSE,FALSE
en,PATIENT,Patient,FALSE,FALSE
en,PATIENT'S_PROBLEMS,Patient'S Problems,FALSE,FALSE
en,PATIENT_CONDITIONS,Patient Conditions,FALSE,FALSE
en,PATIENT_COUNT,Patient Count,FALSE,FALSE
en,PATIENT_PLAN,Patient Plan,FALSE,FALSE
en,PATIENT_PROBLEMS,Patient Problems,FALSE,FALSE
en,PATIENT’S_PROBLEMS,Patient’S Problems,FALSE,FALSE
en,PAYMENTS,Payments,FALSE,FALSE
en,PAYMENT_TERMS,Payment Terms,FALSE,FALSE
en,PERFORMED_BY_/_AT,Performed By / At,FALSE,FALSE
en,PHONE,Phone,FALSE,FALSE
en,PLANNED_DISCHARGE_DATE,Planned Discharge Date,FALSE,FALSE
en,POSITION_CHANGE_SUCCESSFUL,Position Change Successful,FALSE,FALSE
en,PRACTITIONER,Practitioner,FALSE,FALSE
en,PRESCRIBED_BY/AT,Prescribed By/At,FALSE,FALSE
en,PRESCRIBED_BY\AT,Prescribed By\At,FALSE,FALSE
en,PREVIEW,Preview,FALSE,FALSE
en,PRICE_BASE_UOM,Price Base Uom,FALSE,FALSE
en,PRICE_PER_BASE_UOM,Price Per Base Uom,FALSE,FALSE
en,PRIMARY_ICU_DIAGNOSIS,Primary Icu Diagnosis,FALSE,FALSE
en,PRINT_RECEIPT(S),Print Receipts,FALSE,FALSE
en,PRIVACY_&_SECURITY,Privacy & Security,FALSE,FALSE
en,PRIVILEGE,Privilege,FALSE,FALSE
en,PRODUCT_BASE_UOM,Product Base Uom,FALSE,FALSE
en,PRODUCT_CODE,Product Code,FALSE,FALSE
en,PRODUCT_INVENTORY_TYPE,Product Inventory Type,FALSE,FALSE
en,PRODUCT_TRANSACTION_UOM,Product Transaction Uom,FALSE,FALSE
en,PROVIDER,Provider,FALSE,FALSE
en,PURCHASE_PRICE_LIST,Purchase Price List,FALSE,FALSE
en,QUANTITY,Quantity,FALSE,FALSE
en,QUANTITY_DISPENSED,Quantity Dispensed,FALSE,FALSE
en,QUANTITY_TO_DISPENSE,Quantity To Dispense,FALSE,FALSE
en,QUESTION,Question,FALSE,FALSE
en,QUIT_DATE,Quit Date,FALSE,FALSE
en,REASON_FOR_ICU,Reason For Icu,FALSE,FALSE
en,RECEIPTS,Receipts,FALSE,FALSE
en,RECOMMENDED_SUPPLIER,Recommended Supplier,FALSE,FALSE
en,RECURRING,Recurring,FALSE,FALSE
en,REFUND,Refund,FALSE,FALSE
en,REGISTERED_DEPARTMENT,Registered Department,FALSE,FALSE
en,REGULATORY_&_SAFETY,Regulatory & Safety,FALSE,FALSE
en,RELATIONSHIP,Relationship,FALSE,FALSE
en,REORDER_QUANTITY,Reorder Quantity,FALSE,FALSE
en,REPORT_NAME,Report Name,FALSE,FALSE
en,REPORT_STATUS,Report Status,FALSE,FALSE
en,REPORT_TEMPLATE,Report Template,FALSE,FALSE
en,REPOSITIONING,Repositioning,FALSE,FALSE
en,REQUESTAMOUNT,Requestamount,FALSE,FALSE
en,REQUESTED_BY/AT,Requested By/At,FALSE,FALSE
en,REQUEST_AMOUNT,Request Amount,FALSE,FALSE
en,REQUEST_DATE,Request Date,FALSE,FALSE
en,RESPIRATORY_RATE,Respiratory Rate,FALSE,FALSE
en,RESPONSE,Response,FALSE,FALSE
en,RESP_RATE,Resp Rate,FALSE,FALSE
en,RESULTS,Results,FALSE,FALSE
en,RESULT_NORMAL_RANGE,Result Normal Range,FALSE,FALSE
en,RESULT_STATUS,Result Status,FALSE,FALSE
en,RETENTION_PERCENTAGE,Retention Percentage,FALSE,FALSE
en,REUSABLE,Reusable,FALSE,FALSE
en,REVIEW,Review,FALSE,FALSE
en,ROLE_NAME,Role Name,FALSE,FALSE
en,SAFETY_BUNDLE,Safety Bundle,FALSE,FALSE
en,SALES_&_PURCHASE,Sales & Purchase,FALSE,FALSE
en,SCHEDULED_DATE,Scheduled Date,FALSE,FALSE
en,SCHEDULED_DATE&TIME,Scheduled Date&Time,FALSE,FALSE
en,SCHEDULING_SETTINGS,Scheduling Settings,FALSE,FALSE
en,SECOND_PHONE_NUMBER,Second Phone Number,FALSE,FALSE
en,SECURITY_ACCESS_LEVEL,Security Access Level,FALSE,FALSE
en,SEDATION_&_ANALGESIA,Sedation & Analgesia,FALSE,FALSE
en,SELECT_BRAND_TO_SEE_ACTIVE_INGREDIENTS,Select Brand To See Active Ingredients,FALSE,FALSE
en,SHELF_LIFE,Shelf Life,FALSE,FALSE
en,SHIFT_SETUP,Shift Setup,FALSE,FALSE
en,SHIFT_TYPE,Shift Type,FALSE,FALSE
en,SHOW_ALL_VACCINES,Show All Vaccines,FALSE,FALSE
en,SPECIALTY/JOB_INFORMATION,Specialty/Job Information,FALSE,FALSE
en,SPO2,Spo2,FALSE,FALSE
en,STOCK_NAME,Stock Name,FALSE,FALSE
en,STORAGE_LOCATION,Storage Location,FALSE,FALSE
en,SUPPLIER_CODE,Supplier Code,FALSE,FALSE
en,SUPPLIER_NAME,Supplier Name,FALSE,FALSE
en,SUPPLIER_TYPE,Supplier Type,FALSE,FALSE
en,SURGEON,Surgeon,FALSE,FALSE
en,TASK_MANAGEMENT,Task Management,FALSE,FALSE
en,TAX INFORMATION,Tax Information,FALSE,FALSE
en,TAX_INFORMATION,Tax Information,FALSE,FALSE
en,TAX_VALUE,Tax Value,FALSE,FALSE
en,TELEPHONE,Telephone,FALSE,FALSE
en,TELEPHONIC,Telephonic,FALSE,FALSE
en,TEMPLATE_NAME,Template Name,FALSE,FALSE
en,"TEST_RESULT,_UNIT","Test Result, Unit",FALSE,FALSE
en,TIMER,Timer,FALSE,FALSE
en,TITLE,Title,FALSE,FALSE
en,TODAYS_GOAL,Todays Goal,FALSE,FALSE
en,TOLAL_REQUIRED_DOSES,Tolal Required Doses,FALSE,FALSE
en,TOP_DIAGNOSES,Top Diagnoses,FALSE,FALSE
en,TOP_VISIT_REASONS,Top Visit Reasons,FALSE,FALSE
en,TOTAL,Total,FALSE,FALSE
en,TOTAL_COST,Total Cost,FALSE,FALSE
en,TOTAL_COUNT_&_UOM,Total Count & Uom,FALSE,FALSE
en,TOTAL_PRICE,Total Price,FALSE,FALSE
en,TOTAL_REQUIRED_QUANTITY,Total Required Quantity,FALSE,FALSE
en,TO_BED,To Bed,FALSE,FALSE
en,TO_ROOM,To Room,FALSE,FALSE
en,TO_WARD,To Ward,FALSE,FALSE
en,TO_WAREHOUSE,To Warehouse,FALSE,FALSE
en,TRAINING_REQUIRED,Training Required,FALSE,FALSE
en,TRANSACTION_ID,Transaction Id,FALSE,FALSE
en,TRANSACTION_REASON,Transaction Reason,FALSE,FALSE
en,TRANSACTION_TYPE,Transaction Type,FALSE,FALSE
en,TRANSFER_DATE,Transfer Date,FALSE,FALSE
en,TRANSFER_NO,Transfer No,FALSE,FALSE
en,TRANSFER_NUMBER,Transfer Number,FALSE,FALSE
en,TRANSFER_REASON,Transfer Reason,FALSE,FALSE
en,TRANSFER_REQUESTS,Transfer Requests,FALSE,FALSE
en,TRANSFER_STATUS,Transfer Status,FALSE,FALSE
en,TRANSFER_TRANSACTIONS,Transfer Transactions,FALSE,FALSE
en,TRANSLATE,Translate,FALSE,FALSE
en,TRIAGE_NURSE,Triage Nurse,FALSE,FALSE
en,UPDATED_AT,Updated At,FALSE,FALSE
en,UPDATED_BY,Updated By,FALSE,FALSE
en,UPDATED_BY/AT,Updated By/At,FALSE,FALSE
en,UPDATED_BY_/_AT,Updated By / At,FALSE,FALSE
en,URGENCY_LEVEL,Urgency Level,FALSE,FALSE
en,USED_BRAND,Used Brand,FALSE,FALSE
en,USERNAME,Username,FALSE,FALSE
en,USE_SINGLE_PATIENT,Use Single Patient,FALSE,FALSE
en,VACCINATIONS,Vaccinations,FALSE,FALSE
en,VACCINATION_LOCATION,Vaccination Location,FALSE,FALSE
en,VACCINE_BRANDS,Vaccine Brands,FALSE,FALSE
en,VACCINE_LOT_NUMBER,Vaccine Lot Number,FALSE,FALSE
en,VACCINE_MANUFACTURER,Vaccine Manufacturer,FALSE,FALSE
en,VALUE,Value,FALSE,FALSE
en,VENTILATOR,Ventilator,FALSE,FALSE
en,VERBAL_RESPONSE,Verbal Response,FALSE,FALSE
en,VERIFY,Verify,FALSE,FALSE
en,VIEW_METADATA_VALUES,View Metadata Values,FALSE,FALSE
en,VIEW_TEMPLATE,View Template,FALSE,FALSE
en,VISIT,Visit,FALSE,FALSE
en,WARD,Ward,FALSE,FALSE
en,WARD_NAME,Ward Name,FALSE,FALSE
en,WAREHOUSE_ID,Warehouse Id,FALSE,FALSE
en,WAREHOUSE_NAME,Warehouse Name,FALSE,FALSE
en,WARRANTY_START_DATE,Warranty Start Date,FALSE,FALSE
en,WEBSITE,Website,FALSE,FALSE
en,WITNESS_NAME,Witness Name,FALSE,FALSE
en,WORKING_DAYS,Working Days,FALSE,FALSE
